OffenderID,AGE,BOOKER2,BOOKER3,BOOKERCD,CIRCDIST,CITIZEN,CITWHERE,CRIMHIST,CRIMLIV,DISTRICT,YearBorn,DRUGMIN,DSPLEA,ENCRYPT1,ENCRYPT2,FIREMIN1,FIREMIN2,GUNMIN1,GUNMIN2,GUNMIN3,IDMIN,IMMIMIN,Education,Race,nDrugs,nDependents,Offense,POOFFICE,PORNMIN,REAS1,REAS2,SAFE,SentenceMonths,SentenceType,SENTTOT0,SENTYR,SEXADJB,SEXCAP,SEXMIN,STATMAX,STATMIN,TERORHI,MinTimeServed,TOTDAYS,CrimHistCat,FinalOffLevel,MaxGuideRange,MinGuideRange,AgeRange
2219124,50,0,0,0,8,2,46,0,-999,7,1964,0,1,0,0,0,0,0,0,0,0,0,3,1,-999,0,Embezzlement,1,0,-999,-999,-999,-999,4,0,2014,-999,0,0,60,0,0,0,0,1,4,6,0,6
2219236,30,2,3,6,8,1,211,1,-999,7,1984,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,-999,0,0.16,1,0.16,2014,-999,0,0,240,0,0,0.16,0,1,21,46,37,3
2219295,68,0,0,0,8,1,211,1,-999,7,1946,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,0,Missing,1,120,-999,-999,-999,120,1,120,2014,-999,0,0,240,120,0,104.53,0,2,30,135,108,7
2219296,25,3,5,10,8,3,31,1,-999,7,1989,0,5,0,0,0,0,0,0,0,0,0,1,3,-999,2,Pornography/Prostitution,1,0,2,17,-999,24,1,24,2014,-999,0,0,240,0,0,20.91,0,3,21,57,46,2
2219384,64,3,5,10,8,1,211,0,-999,7,1950,0,1,0,0,0,0,0,0,0,0,0,5,1,-999,0,Embezzlement,1,0,1,2,-999,4,1,4,2014,-999,0,0,240,0,0,4,0,1,18,33,27,7
2219386,29,2,3,7,8,1,211,1,-999,7,1985,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,0,21,1,21,2014,-999,0,0,240,0,0,18.29,0,5,15,46,37,3
2219388,42,2,3,7,8,1,211,0,-999,7,1972,0,1,0,0,0,0,0,0,0,0,0,5,1,-999,2,Money Laundering,1,0,1,3,-999,-999,4,0,2014,-999,0,0,60,0,0,0,0,1,17,30,24,6
2219392,25,2,3,5,8,1,211,1,-999,7,1989,60,1,0,0,0,0,0,0,0,0,0,5,3,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,1,0,30,1,30,2014,-999,0,0,480,60,0,26.13,0,3,27,108,87,2
2219479,82,2,3,5,8,1,211,1,-999,7,1932,0,1,0,0,0,0,0,0,0,0,0,1,1,-999,0,Embezzlement,1,0,19,-999,-999,-999,4,0,2014,-999,0,0,60,0,0,0,0,2,13,21,15,7
2219482,39,3,4,8,8,1,211,1,-999,7,1974,0,1,0,0,0,0,0,0,0,0,0,3,1,-999,2,Embezzlement,1,0,17,-999,-999,36,1,36,2014,-999,0,0,240,0,0,31.36,0,1,24,63,51,5
2219486,47,2,3,6,8,3,45,0,-999,7,1967,0,1,0,0,0,0,0,0,0,0,0,3,2,1,4,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,-999,1,6,1,6,2014,-999,0,0,240,0,0,6,0,1,12,16,10,6
2219570,31,0,0,0,8,1,211,1,-999,7,1983,0,1,0,0,0,0,0,0,0,0,0,3,3,1,2,"Drugs - Trafficking, Manufacturing, and Importing",1,0,-999,-999,1,37,1,37,2014,-999,0,0,240,0,0,32.23,0,1,19,37,30,4
